"ccode","state_name","year","cow_war_warnum","cow_war_wartype","cow_war_outcome","cow_wartype","cow_war_fatalities"
625,"Sudan",1968,758,"local issues",3,"local issues",-18
625,"Sudan",1969,758,"local issues",3,"local issues",-18
625,"Sudan",1970,758,"local issues",3,"local issues",-18
625,"Sudan",1971,758,"local issues",3,"local issues",-18
625,"Sudan",1972,758,"local issues",3,"local issues",-18
625,"Sudan",1983,836,"central control",3,"central control",-18
625,"Sudan",1984,836,"central control",3,"central control",-18
625,"Sudan",1985,836,"central control",3,"central control",-18
625,"Sudan",1986,836,"central control",3,"central control",-18
625,"Sudan",1987,836,"central control",3,"central control",-18
625,"Sudan",1988,836,"central control",3,"central control",-18
625,"Sudan",1989,836,"central control",3,"central control",-18
625,"Sudan",1990,836,"central control",3,"central control",-18
625,"Sudan",1991,836,"central control",3,"central control",-18
625,"Sudan",1992,836,"central control",3,"central control",-18
625,"Sudan",1993,836,"central control",3,"central control",-18
625,"Sudan",1994,836,"central control",3,"central control",-18
625,"Sudan",1995,836,"central control",3,"central control",-18
625,"Sudan",1996,836,"central control",3,"central control",-18
625,"Sudan",1997,836,"central control",3,"central control",-18
625,"Sudan",1998,836,"central control",3,"central control",-18
625,"Sudan",1999,836,"central control",3,"central control",-18
625,"Sudan",2000,836,"central control",3,"central control",-18
625,"Sudan",2001,836,"central control",3,"central control",-18
625,"Sudan",2002,836,"central control",3,"central control",-18
625,"Sudan",2003,927,"local issues",6,"local issues",-18
625,"Sudan",2004,836,"central control",3,"central control",-18
625,"Sudan",2005,836,"central control",3,"central control",-18
625,"Sudan",2006,927,"local issues",6,"local issues",-18
630,"Iran",1908,647,"central control",2,"central control",-18
630,"Iran",1909,647,"central control",2,"central control",-18
630,"Iran",1920,687,"central control",1,"central control",-18
630,"Iran",1921,687,"central control",1,"central control",-18
630,"Iran",1978,813,"central control",2,"central control",1100
630,"Iran",1979,816,"central control",1,"central control",-18
630,"Iran",1980,816,"central control",1,"central control",-18
630,"Iran",1981,816,"central control",1,"central control",-18
630,"Iran",1982,816,"central control",1,"central control",-18
630,"Iran",1983,816,"central control",1,"central control",-18
630,"Iran",1984,816,"central control",1,"central control",-18
640,"Turkey",1821,506,"local issues",4,"local issues",9000
640,"Turkey",1822,506,"local issues",4,"local issues",9000
640,"Turkey",1823,506,"local issues",4,"local issues",9000
640,"Turkey",1824,506,"local issues",4,"local issues",9000
640,"Turkey",1825,506,"local issues",4,"local issues",9000
640,"Turkey",1826,508,"central control",1,"central control",6300
640,"Turkey",1827,506,"local issues",4,"local issues",9000
640,"Turkey",1828,506,"local issues",4,"local issues",9000
640,"Turkey",1830,512,"local issues",1,"local issues",15000
640,"Turkey",1831,518,"local issues",2,"local issues",12000
640,"Turkey",1832,518,"local issues",2,"local issues",12000
640,"Turkey",1836,528,"local issues",1,"local issues",-18
640,"Turkey",1837,528,"local issues",1,"local issues",-18
640,"Turkey",1839,533,"local issues",2,"local issues",3000
640,"Turkey",1840,537,"local issues",1,"local issues",27000
640,"Turkey",1841,540,"local issues",1,"local issues",-18
640,"Turkey",1842,542,"local issues",1,"local issues",4600
640,"Turkey",1843,542,"local issues",1,"local issues",4600
640,"Turkey",1852,556,"local issues",2,"local issues",-18
640,"Turkey",1853,556,"local issues",2,"local issues",-18
640,"Turkey",1858,562,"local issues",2,"local issues",4400
640,"Turkey",1859,562,"local issues",2,"local issues",4400
640,"Turkey",1861,575,"local issues",3,"local issues",-18
640,"Turkey",1862,575,"local issues",3,"local issues",-18
640,"Turkey",1866,583,"local issues",1,"local issues",-18
640,"Turkey",1867,583,"local issues",1,"local issues",-18
640,"Turkey",1875,601,"local issues",4,"local issues",9000
640,"Turkey",1876,601,"local issues",4,"local issues",9000
640,"Turkey",1890,616,"local issues",1,"local issues",-18
640,"Turkey",1891,616,"local issues",1,"local issues",-18
640,"Turkey",1892,616,"local issues",1,"local issues",-18
640,"Turkey",1895,630,"local issues",1,"local issues",-18
640,"Turkey",1896,631,"local issues",4,"local issues",-18
640,"Turkey",1897,631,"local issues",4,"local issues",-18
640,"Turkey",1903,640,"local issues",1,"local issues",6330
640,"Turkey",1904,642,"local issues",6,"local issues",29991
640,"Turkey",1905,642,"local issues",6,"local issues",29991
640,"Turkey",1906,642,"local issues",6,"local issues",29991
640,"Turkey",1909,648,"central control",1,"central control",-18
640,"Turkey",1910,651,"local issues",6,"local issues",9000
640,"Turkey",1911,651,"local issues",6,"local issues",9000
640,"Turkey",1912,650,"local issues",4,"local issues",-18
640,"Turkey",1984,838,"local issues",7,"local issues",10500
640,"Turkey",1985,838,"local issues",7,"local issues",10500
640,"Turkey",1986,838,"local issues",7,"local issues",10500
640,"Turkey",1991,865,"local issues",6,"local issues",16500
640,"Turkey",1992,865,"local issues",6,"local issues",16500
640,"Turkey",1993,865,"local issues",6,"local issues",16500
640,"Turkey",1994,865,"local issues",6,"local issues",16500
640,"Turkey",1995,865,"local issues",6,"local issues",16500
640,"Turkey",1996,865,"local issues",6,"local issues",16500
640,"Turkey",1997,865,"local issues",6,"local issues",16500
640,"Turkey",1998,865,"local issues",6,"local issues",16500
640,"Turkey",1999,865,"local issues",6,"local issues",16500
645,"Iraq",1959,747,"central control",1,"central control",-18
645,"Iraq",1961,752,"local issues",6,"local issues",2500
645,"Iraq",1962,752,"local issues",6,"local issues",2500
645,"Iraq",1963,752,"local issues",6,"local issues",2500
645,"Iraq",1965,765,"local issues",3,"local issues",3000
645,"Iraq",1966,765,"local issues",3,"local issues",3000
645,"Iraq",1969,777,"local issues",3,"local issues",4000
645,"Iraq",1970,777,"local issues",3,"local issues",4000
645,"Iraq",1974,797,"local issues",1,"local issues",20000
645,"Iraq",1975,797,"local issues",1,"local issues",20000
645,"Iraq",1985,840,"local issues",1,"local issues",-18
645,"Iraq",1986,840,"local issues",1,"local issues",-18
645,"Iraq",1987,840,"local issues",1,"local issues",-18
645,"Iraq",1988,840,"local issues",1,"local issues",-18
645,"Iraq",1991,862,"local issues",1,"local issues",-18
645,"Iraq",1996,893,"local issues",6,"local issues",-18
652,"Syria",1981,825,"central control",1,"central control",3000
652,"Syria",1982,825,"central control",1,"central control",3000
660,"Lebanon",1958,743,"central control",1,"central control",-18
660,"Lebanon",1983,833,"central control",2,"central control",-18
660,"Lebanon",1984,833,"central control",2,"central control",-18
660,"Lebanon",1989,850,"central control",2,"central control",2491
660,"Lebanon",1990,850,"central control",2,"central control",2491
663,"Jordan",1970,780,"central control",1,"central control",3440
670,"Saudi Arabia",1929,708,"central control",1,"central control",5500
670,"Saudi Arabia",1930,708,"central control",1,"central control",5500
678,"Yemen Arab Republic",1948,728,"central control",1,"central control",-18
678,"Yemen Arab Republic",1962,755,"central control",1,"central control",-18
678,"Yemen Arab Republic",1963,755,"central control",1,"central control",-18
678,"Yemen Arab Republic",1964,755,"central control",1,"central control",-18
678,"Yemen Arab Republic",1965,755,"central control",1,"central control",-18
678,"Yemen Arab Republic",1966,755,"central control",1,"central control",-18
678,"Yemen Arab Republic",1967,755,"central control",1,"central control",-18
678,"Yemen Arab Republic",1968,755,"central control",1,"central control",-18
678,"Yemen Arab Republic",1969,755,"central control",1,"central control",-18
679,"Yemen",1994,885,"local issues",1,"local issues",-18
679,"Yemen",2004,935,"central control",1,"central control",2250
679,"Yemen",2005,935,"central control",1,"central control",2250
679,"Yemen",2007,941,"central control",6,"central control",3500
680,"Yemen People's Republic",1986,842,"central control",2,"central control",13000
698,"Oman",1973,795,"local issues",1,"local issues",2870
698,"Oman",1974,795,"local issues",1,"local issues",2870
698,"Oman",1975,795,"local issues",1,"local issues",2870
700,"Afghanistan",1924,697,"central control",1,"central control",-18
700,"Afghanistan",1925,697,"central control",1,"central control",-18
700,"Afghanistan",1928,705,"central control",1,"central control",15000
700,"Afghanistan",1929,705,"central control",1,"central control",15000
700,"Afghanistan",1978,812,"central control",4,"central control",33000
700,"Afghanistan",1979,812,"central control",4,"central control",33000
700,"Afghanistan",1980,812,"central control",4,"central control",33000
700,"Afghanistan",1989,851,"central control",4,"central control",-18
700,"Afghanistan",1990,851,"central control",4,"central control",-18
700,"Afghanistan",1991,851,"central control",4,"central control",-18
700,"Afghanistan",1992,851,"central control",4,"central control",-18
700,"Afghanistan",1993,851,"central control",4,"central control",-18
700,"Afghanistan",1994,851,"central control",4,"central control",-18
700,"Afghanistan",1995,851,"central control",4,"central control",-18
700,"Afghanistan",1996,851,"central control",4,"central control",-18
700,"Afghanistan",1997,851,"central control",4,"central control",-18
700,"Afghanistan",1998,851,"central control",4,"central control",-18
700,"Afghanistan",1999,851,"central control",4,"central control",-18
700,"Afghanistan",2000,851,"central control",4,"central control",-18
700,"Afghanistan",2001,851,"central control",4,"central control",-18
702,"Tajikistan",1992,876,"central control",3,"central control",-18
702,"Tajikistan",1993,876,"central control",3,"central control",-18
702,"Tajikistan",1994,876,"central control",3,"central control",-18
702,"Tajikistan",1995,876,"central control",3,"central control",-18
702,"Tajikistan",1996,876,"central control",3,"central control",-18
702,"Tajikistan",1997,876,"central control",3,"central control",-18
710,"China",1860,567,"central control",1,"central control",111000
710,"China",1861,567,"central control",1,"central control",111000
710,"China",1862,576,"local issues",1,"local issues",-18
710,"China",1863,567,"central control",1,"central control",111000
710,"China",1864,582,"local issues",2,"local issues",-18
710,"China",1865,567,"central control",1,"central control",111000
710,"China",1866,585,"local issues",1,"local issues",-18
710,"China",1867,568,"local issues",1,"local issues",-18
710,"China",1868,568,"local issues",1,"local issues",-18
710,"China",1869,570,"local issues",1,"local issues",-18
710,"China",1870,570,"local issues",1,"local issues",-18
710,"China",1871,570,"local issues",1,"local issues",-18
710,"China",1872,570,"local issues",1,"local issues",-18
710,"China",1873,576,"local issues",1,"local issues",-18
710,"China",1876,603,"local issues",1,"local issues",-18
710,"China",1877,603,"local issues",1,"local issues",-18
710,"China",1891,618,"local issues",1,"local issues",10500
710,"China",1895,628,"local issues",1,"local issues",-18
710,"China",1896,628,"local issues",1,"local issues",-18
710,"China",1911,657,"central control",2,"central control",1000
710,"China",1913,671,"central control",1,"central control",-18
710,"China",1914,672,"local issues",1,"local issues",-18
710,"China",1916,675,"local issues",1,"local issues",-18
710,"China",1917,675,"local issues",1,"local issues",-18
710,"China",1918,675,"local issues",1,"local issues",-18
710,"China",1926,700,"central control",2,"central control",126000
710,"China",1927,700,"central control",2,"central control",126000
710,"China",1928,703,"local issues",1,"local issues",-18
710,"China",1929,706,"central control",1,"central control",-18
710,"China",1930,710,"central control",6,"central control",5e+05
710,"China",1931,711,"local issues",1,"local issues",20000
710,"China",1932,710,"central control",6,"central control",5e+05
710,"China",1933,710,"central control",6,"central control",5e+05
710,"China",1934,716,"central control",1,"central control",-18
710,"China",1935,710,"central control",6,"central control",5e+05
710,"China",1936,710,"central control",6,"central control",5e+05
710,"China",1946,725,"central control",2,"central control",1200000
710,"China",1947,726,"local issues",1,"local issues",1250
710,"China",1948,725,"central control",2,"central control",1200000
710,"China",1949,725,"central control",2,"central control",1200000
710,"China",1950,725,"central control",2,"central control",1200000
710,"China",1956,741,"local issues",1,"local issues",16000
710,"China",1957,741,"local issues",1,"local issues",16000
710,"China",1958,741,"local issues",1,"local issues",16000
710,"China",1959,741,"local issues",1,"local issues",16000
710,"China",1967,776,"central control",1,"central control",-18
710,"China",1968,776,"central control",1,"central control",-18
730,"Korea",1894,623,"central control",1,"central control",-18
740,"Japan",1868,588,"central control",1,"central control",-18
740,"Japan",1877,607,"local issues",1,"local issues",17000
750,"India",1970,778,"local issues",1,"local issues",2100
750,"India",1971,778,"local issues",1,"local issues",2100
750,"India",1984,837,"local issues",6,"local issues",1191
750,"India",1990,861,"local issues",7,"local issues",27700
750,"India",1991,861,"local issues",7,"local issues",27700
750,"India",1992,861,"local issues",7,"local issues",27700
750,"India",1993,861,"local issues",7,"local issues",27700
750,"India",1994,861,"local issues",7,"local issues",27700
750,"India",1995,861,"local issues",7,"local issues",27700
750,"India",1996,861,"local issues",7,"local issues",27700
750,"India",1997,861,"local issues",7,"local issues",27700
750,"India",1998,861,"local issues",7,"local issues",27700
750,"India",1999,861,"local issues",7,"local issues",27700
750,"India",2000,861,"local issues",7,"local issues",27700
750,"India",2001,861,"local issues",7,"local issues",27700
750,"India",2002,861,"local issues",7,"local issues",27700
750,"India",2003,861,"local issues",7,"local issues",27700
750,"India",2004,861,"local issues",7,"local issues",27700
750,"India",2005,861,"local issues",7,"local issues",27700
770,"Pakistan",1971,782,"local issues",4,"local issues",2491
770,"Pakistan",1973,792,"local issues",1,"local issues",8600
770,"Pakistan",1974,792,"local issues",1,"local issues",8600
770,"Pakistan",1975,792,"local issues",1,"local issues",8600
770,"Pakistan",1976,792,"local issues",1,"local issues",8600
770,"Pakistan",1977,792,"local issues",1,"local issues",8600
770,"Pakistan",2004,932,"local issues",2,"local issues",3000
770,"Pakistan",2005,932,"local issues",2,"local issues",3000
770,"Pakistan",2006,932,"local issues",2,"local issues",3000
775,"Myanmar",1948,732,"local issues",1,"local issues",-18
775,"Myanmar",1949,732,"local issues",1,"local issues",-18
775,"Myanmar",1950,732,"local issues",1,"local issues",-18
775,"Myanmar",1951,732,"local issues",1,"local issues",-18
775,"Myanmar",1958,746,"central control",7,"central control",3150
775,"Myanmar",1959,746,"central control",7,"central control",3150
775,"Myanmar",1960,746,"central control",7,"central control",3150
775,"Myanmar",1967,773,"local issues",7,"local issues",29200
775,"Myanmar",1968,773,"local issues",7,"local issues",29200
775,"Myanmar",1969,773,"local issues",7,"local issues",29200
775,"Myanmar",1970,773,"local issues",7,"local issues",29200
775,"Myanmar",1971,773,"local issues",7,"local issues",29200
775,"Myanmar",1972,773,"local issues",7,"local issues",29200
775,"Myanmar",1973,773,"local issues",7,"local issues",29200
775,"Myanmar",1974,773,"local issues",7,"local issues",29200
775,"Myanmar",1975,773,"local issues",7,"local issues",29200
775,"Myanmar",1976,773,"local issues",7,"local issues",29200
775,"Myanmar",1977,773,"local issues",7,"local issues",29200
775,"Myanmar",1978,773,"local issues",7,"local issues",29200
775,"Myanmar",1979,773,"local issues",7,"local issues",29200
775,"Myanmar",1980,773,"local issues",7,"local issues",29200
775,"Myanmar",1983,832,"local issues",1,"local issues",4000
775,"Myanmar",1984,832,"local issues",1,"local issues",4000
775,"Myanmar",1985,832,"local issues",1,"local issues",4000
775,"Myanmar",1986,832,"local issues",1,"local issues",4000
775,"Myanmar",1987,832,"local issues",1,"local issues",4000
775,"Myanmar",1988,847,"central control",1,"central control",-18
780,"Sri Lanka",1971,783,"central control",1,"central control",4053
780,"Sri Lanka",1983,835,"local issues",3,"local issues",25500
780,"Sri Lanka",1984,835,"local issues",3,"local issues",25500
780,"Sri Lanka",1985,835,"local issues",3,"local issues",25500
780,"Sri Lanka",1986,835,"local issues",3,"local issues",25500
780,"Sri Lanka",1987,845,"central control",1,"central control",-18
780,"Sri Lanka",1988,835,"local issues",3,"local issues",25500
780,"Sri Lanka",1989,835,"local issues",3,"local issues",25500
780,"Sri Lanka",1990,835,"local issues",3,"local issues",25500
780,"Sri Lanka",1991,835,"local issues",3,"local issues",25500
780,"Sri Lanka",1992,835,"local issues",3,"local issues",25500
780,"Sri Lanka",1993,835,"local issues",3,"local issues",25500
780,"Sri Lanka",1994,835,"local issues",3,"local issues",25500
780,"Sri Lanka",1995,835,"local issues",3,"local issues",25500
780,"Sri Lanka",1996,835,"local issues",3,"local issues",25500
780,"Sri Lanka",1997,835,"local issues",3,"local issues",25500
780,"Sri Lanka",1998,835,"local issues",3,"local issues",25500
780,"Sri Lanka",1999,835,"local issues",3,"local issues",25500
780,"Sri Lanka",2000,835,"local issues",3,"local issues",25500
780,"Sri Lanka",2001,835,"local issues",3,"local issues",25500
780,"Sri Lanka",2002,835,"local issues",3,"local issues",25500
780,"Sri Lanka",2006,940,"local issues",5,"local issues",-18
780,"Sri Lanka",2007,940,"local issues",5,"local issues",-18
790,"Nepal",2001,921,"central control",6,"central control",3780
790,"Nepal",2002,921,"central control",6,"central control",3780
790,"Nepal",2003,931,"central control",3,"central control",7030
790,"Nepal",2004,931,"central control",3,"central control",7030
790,"Nepal",2005,931,"central control",3,"central control",7030
790,"Nepal",2006,931,"central control",3,"central control",7030
800,"Thailand",1972,787,"central control",6,"central control",2200
800,"Thailand",1973,787,"central control",6,"central control",2200
811,"Cambodia",1971,785,"central control",2,"central control",85000
811,"Cambodia",1972,785,"central control",2,"central control",85000
811,"Cambodia",1973,785,"central control",2,"central control",85000
811,"Cambodia",1974,785,"central control",2,"central control",85000
811,"Cambodia",1975,785,"central control",2,"central control",85000
811,"Cambodia",1989,857,"central control",3,"central control",-18
811,"Cambodia",1990,857,"central control",3,"central control",-18
811,"Cambodia",1991,857,"central control",3,"central control",-18
811,"Cambodia",1993,881,"central control",1,"central control",-18
811,"Cambodia",1994,881,"central control",1,"central control",-18
811,"Cambodia",1995,881,"central control",1,"central control",-18
811,"Cambodia",1996,881,"central control",1,"central control",-18
811,"Cambodia",1997,881,"central control",1,"central control",-18
812,"Laos",1960,751,"central control",3,"central control",5000
812,"Laos",1961,751,"central control",3,"central control",5000
812,"Laos",1962,751,"central control",3,"central control",5000
812,"Laos",1963,756,"central control",4,"central control",18500
812,"Laos",1964,756,"central control",4,"central control",18500
812,"Laos",1965,756,"central control",4,"central control",18500
812,"Laos",1966,756,"central control",4,"central control",18500
812,"Laos",1967,756,"central control",4,"central control",18500
812,"Laos",1968,756,"central control",4,"central control",18500
812,"Laos",1976,803,"local issues",1,"local issues",6000
812,"Laos",1977,803,"local issues",1,"local issues",6000
812,"Laos",1978,803,"local issues",1,"local issues",6000
812,"Laos",1979,803,"local issues",1,"local issues",6000
817,"Republic of Vietnam",1960,748,"central control",4,"central control",100200
817,"Republic of Vietnam",1961,748,"central control",4,"central control",100200
817,"Republic of Vietnam",1962,748,"central control",4,"central control",100200
817,"Republic of Vietnam",1963,748,"central control",4,"central control",100200
817,"Republic of Vietnam",1964,748,"central control",4,"central control",100200
817,"Republic of Vietnam",1965,748,"central control",4,"central control",100200
840,"Philippines",1950,735,"central control",1,"central control",11300
840,"Philippines",1951,735,"central control",1,"central control",11300
840,"Philippines",1952,735,"central control",1,"central control",11300
840,"Philippines",1953,735,"central control",1,"central control",11300
840,"Philippines",1954,735,"central control",1,"central control",11300
840,"Philippines",1972,790,"central control",6,"central control",31000
840,"Philippines",1973,790,"central control",6,"central control",31000
840,"Philippines",1974,790,"central control",6,"central control",31000
840,"Philippines",1975,790,"central control",6,"central control",31000
840,"Philippines",1976,790,"central control",6,"central control",31000
840,"Philippines",1977,790,"central control",6,"central control",31000
840,"Philippines",1978,790,"central control",6,"central control",31000
840,"Philippines",1979,790,"central control",6,"central control",31000
840,"Philippines",1980,790,"central control",6,"central control",31000
840,"Philippines",1981,790,"central control",6,"central control",31000
840,"Philippines",1982,790,"central control",6,"central control",31000
840,"Philippines",1983,790,"central control",6,"central control",31000
840,"Philippines",1984,790,"central control",6,"central control",31000
840,"Philippines",1985,790,"central control",6,"central control",31000
840,"Philippines",1986,790,"central control",6,"central control",31000
840,"Philippines",1987,790,"central control",6,"central control",31000
840,"Philippines",1988,790,"central control",6,"central control",31000
840,"Philippines",1989,790,"central control",6,"central control",31000
840,"Philippines",1990,790,"central control",6,"central control",31000
840,"Philippines",1991,790,"central control",6,"central control",31000
840,"Philippines",1992,790,"central control",6,"central control",31000
840,"Philippines",2000,916,"local issues",3,"local issues",-18
840,"Philippines",2001,916,"local issues",3,"local issues",-18
840,"Philippines",2003,926,"local issues",7,"local issues",1000
840,"Philippines",2005,936,"local issues",7,"local issues",2823
840,"Philippines",2006,936,"local issues",7,"local issues",2823
850,"Indonesia",1950,733,"local issues",1,"local issues",-18
850,"Indonesia",1953,738,"central control",1,"central control",2700
850,"Indonesia",1956,742,"central control",1,"central control",27200
850,"Indonesia",1957,742,"central control",1,"central control",27200
850,"Indonesia",1958,742,"central control",1,"central control",27200
850,"Indonesia",1959,742,"central control",1,"central control",27200
850,"Indonesia",1960,742,"central control",1,"central control",27200
850,"Indonesia",1961,742,"central control",1,"central control",27200
850,"Indonesia",1962,742,"central control",1,"central control",27200
850,"Indonesia",1965,767,"local issues",6,"local issues",-18
850,"Indonesia",1966,767,"local issues",6,"local issues",-18
850,"Indonesia",1967,767,"local issues",6,"local issues",-18
850,"Indonesia",1968,767,"local issues",6,"local issues",-18
850,"Indonesia",1969,767,"local issues",6,"local issues",-18
850,"Indonesia",1976,802,"local issues",6,"local issues",2100
850,"Indonesia",1977,802,"local issues",6,"local issues",2100
850,"Indonesia",1978,802,"local issues",6,"local issues",2100
850,"Indonesia",1979,806,"local issues",1,"local issues",1791
850,"Indonesia",1989,853,"local issues",1,"local issues",-18
850,"Indonesia",1990,853,"local issues",1,"local issues",-18
850,"Indonesia",1991,853,"local issues",1,"local issues",-18
850,"Indonesia",1999,912,"local issues",3,"local issues",3830
850,"Indonesia",2000,912,"local issues",3,"local issues",3830
850,"Indonesia",2001,912,"local issues",3,"local issues",3830
850,"Indonesia",2002,912,"local issues",3,"local issues",3830
850,"Indonesia",2003,930,"local issues",1,"local issues",1550
910,"Papua New Guinea",1989,854,"local issues",7,"local issues",-18
910,"Papua New Guinea",1990,854,"local issues",7,"local issues",-18
910,"Papua New Guinea",1991,854,"local issues",7,"local issues",-18
910,"Papua New Guinea",1992,854,"local issues",7,"local issues",-18
