"member_id","name","state","party","congress","dwnom1","dwnom2"
"MS11741304","CRUZ, Rafael Edward (Ted)","Texas","Republican Party",117,0.781,-0.179
"MS11740305","CORNYN, John","Texas","Republican Party",117,0.471,-0.062
"MS11841304","CRUZ, Rafael Edward (Ted)","Texas","Republican Party",118,0.781,-0.179
"MS11840305","CORNYN, John","Texas","Republican Party",118,0.471,-0.062
"MS11641110","LEE, Mike","Utah","Republican Party",116,0.891,-0.454
"MS11641902","ROMNEY, Willard Mitt (Mitt)","Utah","Republican Party",116,0.286,0.294
"MS11741110","LEE, Mike","Utah","Republican Party",117,0.891,-0.454
"MS11741902","ROMNEY, Willard Mitt (Mitt)","Utah","Republican Party",117,0.286,0.294
"MS11841110","LEE, Mike","Utah","Republican Party",118,0.891,-0.454
"MS11841902","ROMNEY, Willard Mitt (Mitt)","Utah","Republican Party",118,0.286,0.294
"MS11614307","LEAHY, Patrick Joseph","Vermont","Democratic Party",116,-0.36,-0.121
"MS11629147","SANDERS, Bernard","Vermont","Independent",116,-0.545,-0.428
"MS11714307","LEAHY, Patrick Joseph","Vermont","Democratic Party",117,-0.36,-0.121
"MS11729147","SANDERS, Bernard","Vermont","Independent",117,-0.545,-0.428
"MS11820750","WELCH, Peter","Vermont","Democratic Party",118,-0.401,-0.405
"MS11829147","SANDERS, Bernard","Vermont","Independent",118,-0.545,-0.428
"MS11640909","WARNER, Mark R.","Virginia","Democratic Party",116,-0.213,-0.037
"MS11641305","KAINE, Timothy Michael (Tim)","Virginia","Democratic Party",116,-0.237,-0.112
"MS11740909","WARNER, Mark R.","Virginia","Democratic Party",117,-0.213,-0.037
"MS11741305","KAINE, Timothy Michael (Tim)","Virginia","Democratic Party",117,-0.237,-0.112
"MS11840909","WARNER, Mark R.","Virginia","Democratic Party",118,-0.213,-0.037
"MS11841305","KAINE, Timothy Michael (Tim)","Virginia","Democratic Party",118,-0.237,-0.112
"MS11639310","CANTWELL, Maria E.","Washington","Democratic Party",116,-0.308,-0.402
"MS11649308","MURRAY, Patty","Washington","Democratic Party",116,-0.356,-0.314
"MS11739310","CANTWELL, Maria E.","Washington","Democratic Party",117,-0.308,-0.402
"MS11749308","MURRAY, Patty","Washington","Democratic Party",117,-0.356,-0.314
"MS11839310","CANTWELL, Maria E.","Washington","Democratic Party",118,-0.308,-0.402
"MS11849308","MURRAY, Patty","Washington","Democratic Party",118,-0.356,-0.314
"MS11620146","CAPITO, Shelley Moore","West Virginia","Republican Party",116,0.284,0.144
"MS11640915","MANCHIN, Joe, III","West Virginia","Democratic Party",116,-0.057,0.4
"MS11720146","CAPITO, Shelley Moore","West Virginia","Republican Party",117,0.284,0.144
"MS11740915","MANCHIN, Joe, III","West Virginia","Democratic Party",117,-0.057,0.4
"MS11820146","CAPITO, Shelley Moore","West Virginia","Republican Party",118,0.284,0.144
"MS11840915","MANCHIN, Joe, III","West Virginia","Democratic Party",118,-0.057,0.4
"MS11890915","MANCHIN, Joe, III","West Virginia","Independent",118,-0.06,-0.805
"MS11641111","JOHNSON, Ron","Wisconsin","Republican Party",116,0.643,-0.144
